party,nummove
한나라당,0
한나라당,0
민주당,0
자유선진당,86
한나라당,0
한나라당,106
한나라당,0
한나라당,0
민주당,0
한나라당,1
한나라당,0
한나라당,0
민주당,10
한나라당,0
민주당,9
한나라당,0
민주당,24
한나라당,0
한나라당,0
한나라당,83
민주당,10
민주당,0
한나라당,0
민주당,0
민주당,162
한나라당,10
한나라당,0
한나라당,0
한나라당,0
한나라당,34
민주당,4
한나라당,19
한나라당,0
한나라당,0
한나라당,0
한나라당,91
한나라당,0
한나라당,0
민주당,2
자유선진당,0
민주노동당,12
한나라당,0
민주당,4
한나라당,2
한나라당,23
민주당,44
한나라당,9
한나라당,1
민주당,1
한나라당,0
민주당,8
민주당,0
민주당,0
민주당,0
민주당,0
한나라당,0
한나라당,1
한나라당,0
한나라당,3
한나라당,6
한나라당,0
자유선진당,0
민주당,0
한나라당,0
한나라당,0
미래희망연대,0
민주당,0
한나라당,0
한나라당,0
민주당,0
민주당,0
한나라당,0
한나라당,46
민주당,0
민주당,16
민주당,0
민주당,12
민주당,4
한나라당,0
한나라당,0
한나라당,0
한나라당,0
민주당,0
한나라당,14
자유선진당,0
한나라당,12
한나라당,250
한나라당,0
한나라당,0
민주당,3
한나라당,0
한나라당,0
민주당,0
한나라당,0
한나라당,0
한나라당,0
한나라당,6
자유선진당,0
한나라당,0
한나라당,6
한나라당,0
자유선진당,0
한나라당,0
민주당,17
무소속,0
한나라당,0
미래희망연대,0
민주당,0
한나라당,0
자유선진당,0
한나라당,0
한나라당,0
한나라당,0
한나라당,4
한나라당,0
무소속,0
민주당,0
민주당,0
한나라당,71
한나라당,1
한나라당,0
민주노동당,133
한나라당,3
한나라당,30
한나라당,7
무소속,4
한나라당,316
한나라당,0
한나라당,0
민주당,1
민주당,53
미래희망연대,1
미래희망연대,1
한나라당,4
한나라당,0
한나라당,1
자유선진당,8
한나라당,0
민주당,0
민주당,0
민주당,0
한나라당,0
민주당,0
민주당,0
민주당,0
한나라당,3
창조한국당,0
무소속,0
한나라당,0
민주당,0
한나라당,38
한나라당,0
한나라당,5
민주당,1
민주당,4
한나라당,5
한나라당,0
한나라당,0
민주노동당,0
무소속,0
민주당,0
한나라당,19
한나라당,0
한나라당,0
한나라당,0
미래희망연대,0
한나라당,0
민주당,0
민주당,20
한나라당,30
민주당,0
민주당,0
민주당,0
한나라당,0
민주노동당,0
한나라당,3
한나라당,0
한나라당,1
미래희망연대,0
민주당,8
민주당,0
민주당,0
민주당,0
한나라당,0
한나라당,0
민주당,2
자유선진당,0
한나라당,37
민주당,40
민주당,0
민주당,0
민주당,1
한나라당,1
한나라당,2
한나라당,0
민주당,0
한나라당,0
한나라당,0
자유선진당,0
한나라당,0
한나라당,0
한나라당,1
민주당,0
한나라당,0
한나라당,0
자유선진당,5
한나라당,22
한나라당,1
민주당,0
민주당,0
한나라당,1
한나라당,0
민주당,2
한나라당,0
한나라당,1
민주당,3
한나라당,0
민주당,0
한나라당,0
민주당,0
한나라당,0
자유선진당,0
한나라당,0
한나라당,0
한나라당,0
한나라당,0
한나라당,0
한나라당,147
민주당,165
한나라당,0
한나라당,0
한나라당,0
민주당,1
민주당,0
한나라당,0
한나라당,11
민주당,1
민주당,4
한나라당,0
민주당,0
민주당,1
한나라당,0
한나라당,0
민주당,1
민주당,1
민주당,0
민주당,1
한나라당,58
한나라당,55
민주당,0
민주당,1
한나라당,0
민주당,0
민주당,0
한나라당,0
민주당,1
한나라당,0
한나라당,0
한나라당,15
진보신당,0
한나라당,0
한나라당,0
한나라당,0
한나라당,106
무소속,35
미래희망연대,0
한나라당,0
한나라당,0
자유선진당,29
민주당,0
한나라당,0
한나라당,0
자유선진당,0
자유선진당,0
무소속,0
한나라당,0
창조한국당,0
한나라당,0
미래희망연대,17
한나라당,0
한나라당,0
한나라당,0
한나라당,2
민주당,2
한나라당,0
한나라당,0
자유선진당,0
민주노동당,6
한나라당,0
한나라당,12
한나라당,0
한나라당,0
국민중심연합,0
한나라당,1
한나라당,0
한나라당,0
