name,count
이춘식,0
이범래,0
이종걸,0
권선택,86
조윤선,0
강명순,106
유기준,0
윤상현,0
최종원,0
전여옥,1
이성헌,0
허천,0
김부겸,10
조진래,0
김우남,9
진성호,0
김상희,24
진영,0
허태열,0
권영진,83
김재윤,10
최영희,0
유정현,0
최인기,0
강창일,162
권성동,10
신상진,0
김장수,0
신영수,0
김소남,34
노영민,4
김성조,19
주광덕,0
최경희,0
이종구,0
강길부,91
박상은,0
김성식,0
박기춘,2
이명수,0
곽정숙,12
정옥임,0
김충조,4
나경원,2
김금래,23
강성종,44
김영우,9
송광호,1
조정식,1
유정복,0
김춘진,8
박주선,0
정범구,0
김희철,0
이성남,0
이상득,0
김성동,1
이철우,0
김충환,3
김성회,6
이화수,0
조순형,0
조배숙,0
최경환,0
김형오,0
윤상일,0
조영택,0
서상기,0
김호연,0
신학용,0
이찬열,0
임동규,0
김무성,46
이낙연,0
김영록,16
전현희,0
김성순,12
김유정,4
원유철,0
이한성,0
박순자,0
윤석용,0
우윤근,0
김정권,14
이회창,0
김광림,12
강석호,250
이진복,0
장제원,0
김재균,3
박근혜,0
주호영,0
유선호,0
이재오,0
홍정욱,0
윤진식,0
박민식,6
이재선,0
정양석,0
나성린,6
조원진,0
이영애,0
안홍준,0
김영진,17
박희태,0
이종혁,0
김정,0
신건,0
황진하,0
변웅전,0
윤영,0
배은희,0
이학재,0
김정훈,4
이해봉,0
최연희,0
송민순,0
박지원,0
권경석,71
백성운,1
진수희,0
강기갑,133
김태원,3
김기현,30
김영선,7
김효재,4
김용태,316
임해규,0
조진형,0
이강래,1
김성곤,53
김혜성,1
노철래,1
김재경,4
신성범,0
정병국,1
김용구,8
정의화,0
최재성,0
이석현,0
문희상,0
이군현,0
홍재형,0
전병헌,0
안민석,0
심재철,3
이용경,0
유성엽,0
조문환,0
홍영표,0
구상찬,38
정해걸,0
손숙미,5
장세환,1
김영환,4
김옥이,5
정두언,0
이경재,0
이정희,0
정수성,0
정장선,0
김동성,19
홍일표,0
허원제,0
유재중,0
정하균,0
이혜훈,0
손학규,0
강봉균,20
김세연,30
안규백,0
김학재,0
신낙균,0
안형환,0
홍희덕,0
손범규,3
이명규,0
박보환,1
정영희,0
박은수,8
서종표,0
조경태,0
박우순,0
이한구,0
현기환,0
백재현,2
류근찬,0
강승규,37
김동철,40
전혜숙,0
김진애,0
원혜영,1
홍준표,1
박대해,2
박진,0
추미애,0
정몽준,0
안상수,0
이상민,0
김태호,0
박준선,0
안경률,1
박병석,0
한기호,0
김태환,0
김창수,5
권영세,22
김학송,1
이춘석,0
이윤석,0
서병수,1
정진섭,0
양승조,2
이상권,0
원희룡,1
박영선,3
이윤성,0
박상천,0
조전혁,0
이미경,0
남경필,0
이용희,0
성윤환,0
박영아,0
정태근,0
원희목,0
조해진,0
고승덕,147
강기정,165
이애주,0
최병국,0
김학용,0
변재일,1
최규성,0
여상규,0
김선동,11
송훈석,1
김진표,4
차명진,0
최규식,0
박선숙,1
전재희,0
이범관,0
오제세,1
이용섭,1
정동영,0
우제창,1
김성수,58
김성태,55
문학진,0
천정배,1
이인기,0
백원우,0
주승용,0
정희수,0
정세균,1
안효대,0
이병석,0
권택기,15
조승수,0
이정선,0
이정현,0
한선교,0
강성천,106
강용석,35
송영선,0
이두아,0
이사철,0
김낙성,29
장병완,0
이주영,0
정미경,0
박선영,0
이진삼,0
이인제,0
신지호,0
유원일,0
최구식,0
김을동,17
정갑윤,0
박종근,0
유승민,0
이은재,2
김효석,2
장윤석,0
유일호,0
임영호,0
권영길,6
황영철,0
고흥길,12
황우여,0
주성영,0
심대평,0
배영식,1
장광근,0
홍사덕,0
